state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
AK,smoothed_cli,2020-04-06,2020-09-03,150,1.1559778,0.4695748,421,state,fb-survey
AL,smoothed_cli,2020-04-06,2020-09-03,150,1.0274609,0.1959742,2019.0434,state,fb-survey
AR,smoothed_cli,2020-04-06,2020-09-03,150,0.8176689,0.2168097,1330.0005,state,fb-survey
AZ,smoothed_cli,2020-04-06,2020-09-03,150,1.0100224,0.1532387,3164.169,state,fb-survey
CA,smoothed_cli,2020-04-06,2020-09-03,150,0.727647,0.1366678,3116.6652,state,fb-survey
CO,smoothed_cli,2020-04-06,2020-09-03,150,1.476764,0.1934792,3014.9322,state,fb-survey
CT,smoothed_cli,2020-04-06,2020-09-03,150,1.2575579,0.2591689,1415,state,fb-survey
DC,smoothed_cli,2020-04-06,2020-09-03,150,0.5722461,0.3934854,233,state,fb-survey
DE,smoothed_cli,2020-04-06,2020-09-03,150,1.3885388,0.532361,450.0146,state,fb-survey
FL,smoothed_cli,2020-04-06,2020-09-03,150,0.6050056,0.1262286,2657.0001,state,fb-survey
GA,smoothed_cli,2020-04-06,2020-09-03,150,0.6741203,0.143708,2328.9788,state,fb-survey
HI,smoothed_cli,2020-04-06,2020-09-03,150,0.6332139,0.2755411,558,state,fb-survey
IA,smoothed_cli,2020-04-06,2020-09-03,150,0.8999704,0.2030604,1582.5702,state,fb-survey
ID,smoothed_cli,2020-04-06,2020-09-03,150,1.3363133,0.3242437,955.0738,state,fb-survey
IL,smoothed_cli,2020-04-06,2020-09-03,150,1.0094843,0.1553962,3137.001,state,fb-survey
IN,smoothed_cli,2020-04-06,2020-09-03,150,1.1399092,0.1597976,3141.0038,state,fb-survey
KS,smoothed_cli,2020-04-06,2020-09-03,150,0.8688478,0.2016905,1449.0269,state,fb-survey
KY,smoothed_cli,2020-04-06,2020-09-03,150,0.7873409,0.1537667,2255.9436,state,fb-survey
LA,smoothed_cli,2020-04-06,2020-09-03,150,0.9629052,0.1913084,1892.998,state,fb-survey
MA,smoothed_cli,2020-04-06,2020-09-03,150,0.561085,0.1247227,2633.005,state,fb-survey
MD,smoothed_cli,2020-04-06,2020-09-03,150,0.4258659,0.1001803,2128.9838,state,fb-survey
ME,smoothed_cli,2020-04-06,2020-09-03,150,1.4964202,0.4629654,572,state,fb-survey
MI,smoothed_cli,2020-04-06,2020-09-03,150,0.9887269,0.1454346,3471.9973,state,fb-survey
MN,smoothed_cli,2020-04-06,2020-09-03,150,0.9632191,0.1764805,2390.203,state,fb-survey
MO,smoothed_cli,2020-04-06,2020-09-03,150,0.7040215,0.1306874,2865.2468,state,fb-survey
MS,smoothed_cli,2020-04-06,2020-09-03,150,1.0770841,0.2533742,1240.4064,state,fb-survey
MT,smoothed_cli,2020-04-06,2020-09-03,150,1.3658952,0.4642902,572.6513,state,fb-survey
NC,smoothed_cli,2020-04-06,2020-09-03,150,0.7948252,0.1551575,2529.0018,state,fb-survey
ND,smoothed_cli,2020-04-06,2020-09-03,150,0.3338893,0.2409778,339.1459,state,fb-survey
NE,smoothed_cli,2020-04-06,2020-09-03,150,0.7355821,0.2511641,942.1057,state,fb-survey
NH,smoothed_cli,2020-04-06,2020-09-03,150,0.6195175,0.2558485,608,state,fb-survey
NJ,smoothed_cli,2020-04-06,2020-09-03,150,1.0297235,0.1611569,2732.9985,state,fb-survey
NM,smoothed_cli,2020-04-06,2020-09-03,150,0.5095964,0.2098552,879.6647,state,fb-survey
NV,smoothed_cli,2020-04-06,2020-09-03,150,1.0125474,0.2344246,1437.9057,state,fb-survey
NY,smoothed_cli,2020-04-06,2020-09-03,150,1.5287597,0.208922,2399.0005,state,fb-survey
OH,smoothed_cli,2020-04-06,2020-09-03,150,0.7800344,0.1394539,3158.999,state,fb-survey
OK,smoothed_cli,2020-04-06,2020-09-03,150,0.8704582,0.1727552,2000.9986,state,fb-survey
OR,smoothed_cli,2020-04-06,2020-09-03,150,1.1649704,0.198438,2235.3371,state,fb-survey
PA,smoothed_cli,2020-04-06,2020-09-03,150,0.8524224,0.1387154,3299.0016,state,fb-survey
RI,smoothed_cli,2020-04-06,2020-09-03,150,0.8194206,0.4078948,418.995,state,fb-survey
SC,smoothed_cli,2020-04-06,2020-09-03,150,0.8090693,0.1691493,1992.0007,state,fb-survey
SD,smoothed_cli,2020-04-06,2020-09-03,150,1.2778614,0.4869857,395.0524,state,fb-survey
TN,smoothed_cli,2020-04-06,2020-09-03,150,0.8041258,0.1448758,2820.0601,state,fb-survey
TX,smoothed_cli,2020-04-06,2020-09-03,150,1.0301609,0.1598293,2894.0035,state,fb-survey
UT,smoothed_cli,2020-04-06,2020-09-03,150,0.710631,0.1869656,1494.3036,state,fb-survey
VA,smoothed_cli,2020-04-06,2020-09-03,150,0.9338314,0.1541654,2817.1886,state,fb-survey
VT,smoothed_cli,2020-04-06,2020-09-03,150,0.41841,0.3588294,239,state,fb-survey
WA,smoothed_cli,2020-04-06,2020-09-03,150,0.9921193,0.1464225,3628.9835,state,fb-survey
WI,smoothed_cli,2020-04-06,2020-09-03,150,0.8344281,0.1512928,2633.0025,state,fb-survey
WV,smoothed_cli,2020-04-06,2020-09-03,150,0.7077143,0.2239287,989.0523,state,fb-survey
WY,smoothed_cli,2020-04-06,2020-09-03,150,1.7435726,0.6387222,300.9551,state,fb-survey
AK,smoothed_cli,2020-04-07,2020-09-03,149,1.0103359,0.2522222,1290,state,fb-survey
AL,smoothed_cli,2020-04-07,2020-09-03,149,0.7735394,0.0892598,7403.129,state,fb-survey
AR,smoothed_cli,2020-04-07,2020-09-03,149,0.8177691,0.1158078,4729.1251,state,fb-survey
AZ,smoothed_cli,2020-04-07,2020-09-03,149,0.931544,0.0822496,10102.6538,state,fb-survey
CA,smoothed_cli,2020-04-07,2020-09-03,149,0.6722565,0.0734437,9616.9951,state,fb-survey
CO,smoothed_cli,2020-04-07,2020-09-03,149,1.3954298,0.1011348,10003.6219,state,fb-survey
CT,smoothed_cli,2020-04-07,2020-09-03,149,0.9595318,0.114616,5283,state,fb-survey
DC,smoothed_cli,2020-04-07,2020-09-03,149,0.3632479,0.1592781,936,state,fb-survey
DE,smoothed_cli,2020-04-07,2020-09-03,149,0.7191474,0.1841178,1607.0292,state,fb-survey
FL,smoothed_cli,2020-04-07,2020-09-03,149,0.7054508,0.0705346,10420.0016,state,fb-survey
GA,smoothed_cli,2020-04-07,2020-09-03,149,0.7694694,0.0759913,9198.9343,state,fb-survey
HI,smoothed_cli,2020-04-07,2020-09-03,149,0.642166,0.1638854,1780,state,fb-survey
IA,smoothed_cli,2020-04-07,2020-09-03,149,1.0130396,0.1173201,5322.7042,state,fb-survey
ID,smoothed_cli,2020-04-07,2020-09-03,149,1.2166002,0.1714867,2884.7752,state,fb-survey
IL,smoothed_cli,2020-04-07,2020-09-03,149,0.8634434,0.0773469,10473.0676,state,fb-survey
IN,smoothed_cli,2020-04-07,2020-09-03,149,1.063059,0.0825091,11432.0137,state,fb-survey
KS,smoothed_cli,2020-04-07,2020-09-03,149,0.8717549,0.1108592,4987.7496,state,fb-survey
KY,smoothed_cli,2020-04-07,2020-09-03,149,0.7259051,0.0766161,7934.0866,state,fb-survey
LA,smoothed_cli,2020-04-07,2020-09-03,149,0.9705685,0.1029115,6667.9948,state,fb-survey
MA,smoothed_cli,2020-04-07,2020-09-03,149,0.7151957,0.0730528,9769.0265,state,fb-survey
MD,smoothed_cli,2020-04-07,2020-09-03,149,0.6030701,0.0698578,8437.9649,state,fb-survey
ME,smoothed_cli,2020-04-07,2020-09-03,149,1.0344316,0.1781669,2411.2234,state,fb-survey
MI,smoothed_cli,2020-04-07,2020-09-03,149,0.9696031,0.0733395,13170.0094,state,fb-survey
MN,smoothed_cli,2020-04-07,2020-09-03,149,0.9289695,0.0928974,8302.2048,state,fb-survey
MO,smoothed_cli,2020-04-07,2020-09-03,149,0.7355028,0.071879,10082.3437,state,fb-survey
MS,smoothed_cli,2020-04-07,2020-09-03,149,0.907656,0.1222617,4337.7626,state,fb-survey
MT,smoothed_cli,2020-04-07,2020-09-03,149,1.1098644,0.2119049,1949.3687,state,fb-survey
NC,smoothed_cli,2020-04-07,2020-09-03,149,0.7075759,0.0736192,9729.0084,state,fb-survey
ND,smoothed_cli,2020-04-07,2020-09-03,149,0.871605,0.2290639,1197.5557,state,fb-survey
NE,smoothed_cli,2020-04-07,2020-09-03,149,1.1483404,0.1696649,2994.6091,state,fb-survey
NH,smoothed_cli,2020-04-07,2020-09-03,149,0.7646147,0.145292,2396.7766,state,fb-survey
NJ,smoothed_cli,2020-04-07,2020-09-03,149,1.1303048,0.0885676,10272.9933,state,fb-survey
NM,smoothed_cli,2020-04-07,2020-09-03,149,0.5928509,0.1138887,3016.0423,state,fb-survey
NV,smoothed_cli,2020-04-07,2020-09-03,149,0.983303,0.1237813,4881.1561,state,fb-survey
